Word,Relative Frequency %,H1%,H2%,H3%,H4%,H5%,H6%,Anchor%,Title%,Url-Host,Url-Query,GT,web-id
html,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
bbc,0.026533996683250415,0.5,0.15384615384615385,0,0,0,0,0.019867549668874173,0.5,1.0,0,0,0
homepage,0.004975124378109453,0.5,0,0,0,0,0,0.002207505518763797,0.5,0,0,0,0
accessibility,0.004975124378109453,0,0.038461538461538464,0,0,0,0,0.004415011037527594,0,0,0,0,0
links,0.001658374792703151,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
skip,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
content,0.003316749585406302,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
help,0.003316749585406302,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0
account,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
notifications,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
home,0.013266998341625208,0,0,0,0,0,0,0.013245033112582781,0,0,0,0,0
news,0.026533996683250415,0,0.07692307692307693,0.006802721088435374,0,0,0,0.02869757174392936,0,0,0,0,0
sport,0.011608623548922056,0,0.038461538461538464,0,0,0,0,0.01545253863134658,0,0,0,0,0
weather,0.011608623548922056,0,0.038461538461538464,0,0,0,0,0.013245033112582781,0,0,0,0,0
iplayer,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
sounds,0.011608623548922056,0,0,0,0,0,0,0.01545253863134658,0,0,0,0,0
bitesize,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
cbeebies,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
cbbc,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
food,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
reel,0.006633499170812604,0,0,0,0,0,0,0.008830022075055188,0,0,0,0,0
worklife,0.006633499170812604,0,0,0,0,0,0,0.008830022075055188,0,0,0,0,0
travel,0.009950248756218905,0,0,0,0,0,0,0.011037527593818985,0,0,0,0,0
future,0.01658374792703151,0,0.038461538461538464,0.003401360544217687,0,0,0,0.02207505518763797,0,0,0,0,0
culture,0.006633499170812604,0,0,0,0,0,0,0.008830022075055188,0,0,0,0,0
tv,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
